service,category,code
A2I,accountNotification,AWS_A2I_CUSTOMER_ENGAGEMENT
A2I,issue,AWS_A2I_OPERATIONAL_ISSUE
A2I,accountNotification,AWS_A2I_OPERATIONAL_NOTIFICATION
ABUSE,issue,AWS_ABUSE_BOTNET_REPORT
ABUSE,issue,AWS_ABUSE_CC_FRAUD_REPORT
ABUSE,accountNotification,AWS_ABUSE_CONFIGURATION_REVIEW
ABUSE,issue,AWS_ABUSE_COPYRIGHT_DMCA_REPORT
ABUSE,issue,AWS_ABUSE_COPYRIGHT_NON_DMCA_REPORT
ABUSE,issue,AWS_ABUSE_DOS_REPORT
ABUSE,issue,AWS_ABUSE_EMAIL_SPAM_REPORT
ABUSE,accountNotification,AWS_ABUSE_EXTREMIST_VIOLENT_CONTENT
ABUSE,issue,AWS_ABUSE_FORUM_SPAM_REPORT
ABUSE,accountNotification,AWS_ABUSE_HATE_SPEECH
ABUSE,issue,AWS_ABUSE_ILLEGAL_CONTENT_REPORT
ABUSE,issue,AWS_ABUSE_INTRUSION_ATTEMPT_REPORT
ABUSE,accountNotification,AWS_ABUSE_IP_CYCLING
ABUSE,issue,AWS_ABUSE_MALWARE_WEBSITE_REPORT
ABUSE,issue,AWS_ABUSE_OPEN_PROXY_REPORT
ABUSE,issue,AWS_ABUSE_PHISHING_REPORT
ABUSE,issue,AWS_ABUSE_PII_CONTENT_REMOVAL_REPORT
ABUSE,issue,AWS_ABUSE_PORT_SCANNING_REPORT
ABUSE,accountNotification,AWS_ABUSE_PUBLICLY_AVAILABLE_INFORMATION_REPORT
ABUSE,issue,AWS_ABUSE_SPAM_WEBSITE_REPORT
ABUSE,issue,AWS_ABUSE_TAKEDOWN_REQUEST_REPORT
ABUSE,issue,AWS_ABUSE_WEBCRAWL_REPORT
ACCOUNT,accountNotification,AWS_ACCOUNT_CUSTOMER_ENGAGEMENT
ACCOUNT,issue,AWS_ACCOUNT_CUSTOMER_VERIFICATION_FAILED
ACCOUNT,accountNotification,AWS_ACCOUNT_CUSTOMER_VERIFICATION_NOT_REQUIRED
ACCOUNT,issue,AWS_ACCOUNT_CUSTOMER_VERIFICATION_REQUIRED
ACCOUNT,accountNotification,AWS_ACCOUNT_CUSTOMER_VERIFICATION_SUCCESS
ACCOUNT,issue,AWS_ACCOUNT_OPERATIONAL_ISSUE
ACCOUNT,accountNotification,AWS_ACCOUNT_OPERATIONAL_NOTIFICATION
ACCOUNT,scheduledChange,AWS_ACCOUNT_PLANNED_LIFECYCLE_EVENT
ACCOUNT,accountNotification,AWS_ACCOUNT_SECURITY_NOTIFICATION
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_API_FAULT
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_API_LATENCY
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_CONSOLE_ERRORS
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_CONSOLE_LATENCY
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_CREATE_CERTIFICATE_AUTHORITY_AUDIT_REPORT_LATENCY
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_CREATE_CERTIFICATE_AUTHORITY_LATENCY
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_CRL_UPDATE_DELAY
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_ISSUE_CERTIFICATE_LATENCY
ACMPRIVATECA,issue,AWS_ACMPRIVATECA_OPERATIONAL_ISSUE
ACMPRIVATECA,accountNotification,AWS_ACMPRIVATECA_OPERATIONAL_NOTIFICATION
ACMPRIVATECA,scheduledChange,AWS_ACMPRIVATECA_PLANNED_LIFECYCLE_EVENT
ACMPRIVATECA,accountNotification,AWS_ACMPRIVATECA_SECURITY_NOTIFICATION
ACM,issue,AWS_ACM_ADD_TAGS_TO_CERTIFICATE_AVAILABILITY_ISSUE
ACM,issue,AWS_ACM_ADD_TAGS_TO_CERTIFICATE_LATENCY_ISSUE
ACM,issue,AWS_ACM_API_ISSUE
ACM,issue,AWS_ACM_CAA_CHECK_FAILURE
AMPLIFY,accountNotification,AWS_AMPLIFY_OPERATIONAL_NOTIFICATION
